No,;Time;;Source;Destination;;Length;Info;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
1;0;;147,92,165,67;192,168,100,98;TCP;56;443  >  59351 [ACK] Seq=1 Ack=1 Win=8232 Len=0;;;0;0,000034;0,000034;;-0,000169;0,000203;0,000372
2;0,000034;;192,168,100,98;147,92,165,67;TLSv1,2;113;Application Data;;;0,000034;0,000237;0,000203;;-0,019052;0,019255;0,038307
3;0,000237;;162.159.134.234;192,168,100,98;TLSv1,2;271;Application Data;;;0,000237;0,019492;0,019255;;-0,013449;0,032704;0,046153
4;0,019492;;147,92,165,67;192,168,100,98;TCP;56;443  >  59351 [ACK] Seq=1 Ack=60 Win=8232 Len=0;;;0,019492;0,052196;0,032704;;-0,062875;0,095579;0,158454
5;0,052196;;192,168,100,98;162.159.134.234;TCP;54;49949  >  443 [ACK] Seq=1 Ack=218 Win=511 Len=0;;;0,052196;0,147775;0,095579;;0,070684;0,024895;-0,045789
7;0,147775;;192,168,100,98;35,186,224,47;TLSv1,2;97;Application Data;;;0,147775;0,17267;0,024895;;-0,051108;0,076003;0,127111
9;0,17267;;35,186,224,47;192,168,100,98;TCP;54;443  >  59347 [ACK] Seq=1 Ack=44 Win=272 Len=0;;;0,17267;0,248673;0,076003;;0,022087;0,053916;0,031829
10;0,248673;;35,186,224,47;192,168,100,98;TLSv1,2;94;Application Data;;;0,248673;0,302589;0,053916;;0,007952;0,045964;0,038012
11;0,302589;;192,168,100,98;35,186,224,47;TCP;54;59347  >  443 [ACK] Seq=44 Ack=41 Win=512 Len=0;;;0,302589;0,348553;0,045964;;-0,041186;0,08715;0,128336
13;0,348553;;192,168,100,98;104.199.240.237;TCP;65;61461  >  4070 [PSH, ACK] Seq=1 Ack=1 Win=511 Len=11;;;0,348553;0,435703;0,08715;;0,036304;0,050846;0,014542
15;0,435703;;104.199.240.237;192,168,100,98;TCP;65;4070  >  61461 [PSH, ACK] Seq=1 Ack=12 Win=16 Len=11;;;0,435703;0,486549;0,050846;;-0,085842;0,136688;0,22253
16;0,486549;;192,168,100,98;104.199.240.237;TCP;54;61461  >  4070 [ACK] Seq=12 Ack=12 Win=511 Len=0;;;0,486549;0,623237;0,136688;;0,101257;0,035431;-0,065826
17;0,623237;;162.159.134.234;192,168,100,98;TLSv1,2;411;Application Data;;;0,623237;0,658668;0,035431;;0,020277;0,015154;-0,005123
19;0,658668;;192,168,100,98;35,186,224,25;TCP;55;65355  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU];;;0,658668;0,673822;0,015154;;0,007773;0,007381;-0,000392
20;0,673822;;192,168,100,98;162.159.134.234;TCP;54;49949  >  443 [ACK] Seq=1 Ack=575 Win=510 Len=0;;;0,673822;0,681203;0,007381;;-0,461625;0,469006;0,930631
21;0,681203;;35,186,224,25;192,168,100,98;TCP;66;443  >  65355 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2;;;0,681203;1,150209;0,469006;;0,44632;0,022686;-0,423634
23;1,150209;;192,168,100,98;147,92,165,67;TLSv1,2;88;Application Data;;;1,150209;1,172895;0,022686;;0,012688;0,009998;-0,00269
24;1,172895;;147,92,165,67;192,168,100,98;TCP;56;443  >  59351 [ACK] Seq=1 Ack=94 Win=8232 Len=0;;;1,172895;1,182893;0,009998;;-0,03646;0,046458;0,082918
25;1,182893;;147,92,165,67;192,168,100,98;TLSv1,2;88;Application Data;;;1,182893;1,229351;0,046458;;0,031435;0,015023;-0,016412
26;1,229351;;192,168,100,98;147,92,165,67;TCP;54;59351  >  443 [ACK] Seq=94 Ack=35 Win=510 Len=0;;;1,229351;1,244374;0,015023;;-0,009079;0,024102;0,033181
27;1,244374;;192,168,100,98;35,186,224,47;TLSv1,2;89;Application Data;;;1,244374;1,268476;0,024102;;-0,050521;0,074623;0,125144
28;1,268476;;35,186,224,47;192,168,100,98;TCP;54;443  >  62571 [ACK] Seq=1 Ack=36 Win=266 Len=0;;;1,268476;1,343099;0,074623;;0,021848;0,052775;0,030927
29;1,343099;;35,186,224,47;192,168,100,98;TLSv1,2;85;Application Data;;;1,343099;1,395874;0,052775;;-0,857938;0,910713;1,768651
31;1,395874;;192,168,100,98;35,186,224,47;TCP;54;62571  >  443 [ACK] Seq=36 Ack=32 Win=509 Len=0;;;1,395874;2,306587;0,910713;;0,898964;0,011749;-0,887215
